"Fundo";"Imagem";"PDF";"Autor";"Titulo";"Titulos atríbuidos";"Notas de edição";"Idioma";"Edição / Descrição geral";"Categoria";"Subcategoria";"Legendas";"Descrição Material";"Dimensões";"Bibliografia";"Publicações";"Exposições";"Itens relacionados";"Bloco de notas";"Cota";"Local de conservação";"Estado de conservação";"Proprietário";"Historial";"Datas relacionadas";"Notas à data";"Dedicatário";"Destinatário";"Data";"Locais";"Palavras chave";"Nomes relacionados";"Data inventario";"Inventariante"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-IMP-17-001.jpg";"";"Negreiros, José de Almada /  Ley, Charles David";"The public on the stage: one act play";"Adam: international review   The public on the stage: one act play";"";"Inglês";"Revista  Adam: international review , Year XIV No. 154-155, London, January-February 1946, que inclui a tradução da peça de teatro  O público em cena , por Charles David Ley,  The public on the stage: one act play,  pp. 8-12.";"Literatura";"Teatro Impresso";"";"Impresso a preto, 28 páginas. ";"20 x 15 cm";"";"'Almada por contar', coordenação de Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa, Lisboa, Babel e Biblioteca Nacional, 2013.";"'Almada por contar', coordenação de Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa, Biblioteca Nacional Portugal, Lisboa, 27 de Junho a 5 de Outubro de 2013. ";"Ver manuscrito ANSA-L-29 e dactiloscrito ANSA-L-30.";"";"ANSA-IMP-17";"Informação Protegida";"Bom ";"Colecção Particular";"";"1946";"Inscrita";"";"";"1946 Jan-Feb";"";"Tradução Teatro";"Negreiros, José de Almada  Ley, Charles David Grindea, Miron";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-152-002.JPG";"";"Negreiros, José de Almada";"Textos literários";"Textos literários";"";"Português";" Caderno com versões manuscritas de diferentes textos literários: ""Que vens contar-me""; Poema ""Encontro"" (publicado no Diário de Lisboa, 25 Nov. 1937), com algumas variantes, sem título e sem a dedicatória a Carlos Queiroz; ""Nome de Guerra"": capítulo ""O Tio"", publicado na  Revista de Portugal, n.º 2, Jan. 1938; ""O Público em Cena"".Contém ainda alguns esboços de desenhos.   ";"Arte / Literatura";"Desenho / Ficção / Teatro / Poesia Ficção Desenho Romance Teatro";"";"Caderno quadriculado de capas pretas, trinta e sete páginas manuscritas a tinta preta, azul e lápis. ";"21,5 x 16 cm";"";"";"";"";"";"ANSA-L- 152-1 a ANSA-L-152-32";"Informação Protegida";"Razoável: algumas folhas descosidas da encadernação; capas com marcas de degradação.  ";"Colecção Particular";"";"1931 1932 1933 1934 1935 1936 1937 1938";"Atribuída de acordo com a datação de outros manuscritos de ""O Público em Cena"", da publicação do poema ""Encontro"" e do capítulo ""O Tio"" do romance ""Nome de Guerra"".";"";"";"1931-1938";"";"";"";"";"Luís Manuel Gaspar Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-233-1.jpg";"";"Negreiros, José de Almada";"Texto sobre a encenação do ""Auto da Alma""";"Texto sobre a encenação do ""Auto da Alma""";"";"Português";"Texto sobre a encenação do ""Auto da Alma"", assinado ""o encenador / Almada"". Contém também referência à realização da conferência ""Arte a Dianteira"" em Coimbra (10/12/1965).";"Literatura";"Cenários e Figurinos / Teatro";"";"Duas folha de papel liso datiloscritas a tinta preta e manuscritas a esferográfica vermelha.";"27x21 cm";"";"";"";"";"";"ANSA-L-233";"Informação Protegida";"Bom";"Coleção Particular";"";"";"Deduzida a partir da data de estreia em Lisboa (25/11/1965) e da data da conferência em Coimbra.";"";"";"1965 Nov/Dez";"Associação Académica de Coimbra rua Abílio Roque, Teatro S.João Porto  ";"auto da alma";"Gil Vicente, D.Amélia Rey-Colaço, Gonçalo Sequeira Braga";"2021-10-29";"Giorgia Casara e Benedetta Venè"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-27-001.jpg";"";"Negreiros, José de Almada";"Téleon I";"Téleon I";"";"Português";"Datiloscrito (cópia) com emendas autógrafas.?Dedicado «à memória de Sir Arthur Evans», responsável pela descoberta do Palácio de Cnossos (Creta). Nesta palestra,  Almada descreve algumas das conclusões apresentadas ";"Literatura";"Conferência";"";"Folhas lisas, 5 p.";"33 x 20,5 cm";"Almada por contar   (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, p. 89.";" Almada por contar   (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, p. 89.";"'Almada por contar' (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), Biblioteca Nacional de Portugal, 27 de junho a 5 de outubro de 2013.";"ANSA-L-26; ANSA-L-28; ANSA-COR-248 e ANSA-F-228.";"Texto publicado em  Almada por contar   (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, pp. 167-169. ";"ANSA-L-27";"Informação Protegida";"Bom";"Colecção Particular";"";"1950";"";"";"";"1950 nov 17";"Londres";"Palestra radiofónica";"Evans, Sir Arthur";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-28-001.jpg";"";"Negreiros, José de Almada";"Téleon e arte abstracta II";"Téleon e arte abstracta II";"";"Português";"Datiloscrito (cópia) com emendas autógrafas. ";"Literatura";"Conferência";"";"Folhas lisas, 5 p.";"33 x 20,5 cm";" Almada por contar   (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, p. 89.";" Almada por contar   (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, p. 89.";"Almada por contar' (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), Biblioteca Nacional de Portugal, 27 de junho a 5 de outubro de 2013.";"ANSA-L-26; ANSA-L-27; ANSA-COR-248 e ANSA-F-228.";"Texto publicado em  Almada por contar   (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, pp. 169-172. ";"ANSA-L-28";"Informação Protegida";"Bom";"Colecção Particular";"";"1950";"";"";"";"1950 nov 24";"Londres";"Palestra radiofónica";"Negreiros, José de Almada";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-190-001.jpg";"";"Negreiros, José Afonso de Almada";"Teatro";"Teatro";"";"Português";"Manuscrito com uma definição de teatro.";"Literatura";"Fragmentos";"";"Uma página manuscrita a esferográfica preta, em folha lisa. ";"27 x 21 cm";"";"";"";"";"";"ANSA-L-190";"Informação Protegida";"Bom: dobras e marcas de sujidade. ";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-183-001_Medium.jpeg";"";"Negreiros, José de Almada";"Superbia Universitariorum";"";"";"Português Latim";"Poema de José de Almada Negreiros com inclusão de uma breve biografia de Varela Aldemira.Assinado.";"Literatura";"Poesia";"";"Documento manuscrito em duas folhas lisas a tinta vermelha.";"";"";"";"";"";"";"ANSA-L-183";"Informação Protegida";"Bom: apresenta alguns vincos e manchas de humidade.";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"Lisboa";"Arte";"Aldemira, Luiz Varela";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-34-002.jpg";"";"Negreiros, José de Almada";"Sudoeste: dossier preparatório";"Sudoeste: dossier preparatório";"";"Português";"Autógrafo. Pasta que inclui manuscritos, desenhos e documentação vária relativa maioritariamente à revista Sudoeste.";"Literatura";"Ensaio Ficção";"";"Pasta com folhas soltas.";"26 x 36 cm ou menos";"""Almada por contar""  (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, p. 80.";"""Almada por contar""  (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013, p. 80.";"""Almada por contar"" (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), Biblioteca Nacional de Portugal, Lisboa, 27 de junho a 5 de outubro de 2013.";"ANSA-IMP-9ANSA-IMP-11";"A revista ""Sudoeste""  foi publicada entre Junho e Novembro de 1935.";"ANSA-L-34";"Informação Protegida";"Bom";"Colecção Particular";"";"1935";"Data atribuída de acordo com a publicação da revista ""Sudoeste"" .";"";"";"1935";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-IMP-11.jpg";"";"Negreiros, José de Almada";"Sudoeste 3";"Sudoeste 3 Sudoeste: cadernos de Almada Negreiros";"";"Português";"Publicação periódica coordenada por Almada Negreiros e administrada por Dario Martins. Este número inclui textos de: Fernando Pessoa, Ângelo de Lima, Mário de Sá-Carneiro, Luís de Montalvor, Raúl Leal, Alfredo Guisado, Álvaro de Campos, João Gaspar Simões";"Literatura";"Impresso";"";"Impresso com capa de Almada. ";"25,5 x 16 cm";"";"Almada por contar  (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013.";"'Almada por contar' (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), Biblioteca Nacional de Portugal, 27 de junho a 5 de outubro de 2013.";"ANSA-L-24, ANSA-IMP-9 e ANSA-IMP10.";"";"ANSA-IMP-11";"Informação Protegida";"Bom";"Colecção Particular";"";"1935";"Inscrita (data da publicação).";"";"";"Nov-35";"Lisboa";"";"Montalvor, Luís de  Martins, Dario  Lima, Ângelo de  Leal, Raul Guisado, Alfredo Dias, Saúl  Campos, Álvaro de Affonso, Sarah Semke, Hein SAA, Mário  Sá-Carneiro, Mário de  Régio, José  Ramos, Carlos Queirós, Carlos Pessoa, Fernando  Negreiros, José de Al";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-IMP-10.jpg";"";"Negreiros, José de Almada";"Sudoeste 2";"Sudoeste 2 Sudoeste: cadernos de Almada Negreiros";"";"Português";"Publicação periódica coordenada por Almada Negreiros e administrada por Dario Martins. ";"Literatura";"Impresso";"";"Impresso com capa e ilustrações de Almada. ";"25,5 x 16 cm";"";"Almada por contar  (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013.";"'Almada por contar' (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), Biblioteca Nacional de Portugal, 27 de junho a 5 de outubro de 2013.";"ANSA-L-24, ANSA-IMP-9 e ANSA-IMP-11.";"";"ANSA-IMP-10";"Informação Protegida";"Bom";"Colecção Particular";"";"1935";"Inscrita (data da publicação).";"";"";"Out-35";"Lisboa";"";"Martins, Dario";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-IMP-9.jpg";"";"Negreiros, José de Almada";"Sudoeste 1 ";"Sudoeste 1 Sudoeste: cadernos de Almada Negreiros";"";"Português";"Publicação periódica coordenada por Almada Negreiros e administrada por Dario Martins. ";"Literatura";"Impresso";"";"Impresso com capa e ilustrações de Almada. ";"25,5 x 16 cm";"";"Almada por contar  (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), BNP / Babel, Lisboa, 2013.";"'Almada por contar' (coord. Sara Afonso Ferreira, Sílvia Laureano Costa e Simão Palmeirim Costa), Biblioteca Nacional de Portugal, 27 de junho a 5 de outubro de 2013.";"ANSA-L-24, ANSA-IMP-10 e ANSA-IMP-11.";"";"ANSA-IMP-9";"Informação Protegida";"Bom";"Colecção Particular";"";"1935";"Inscrita (data da publicação).";"";"";"Jun-35";"Lisboa";"";"Martins, Dario";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/Se____dever_dizer_o_que_.jpg";"";"Negreiros, José de Almada";"Se é dever dizer o que";"Se é dever dizer o que";"";"Português";"Poema manuscrito com o desenho de um círculo no início e o de um quadrado no final. ";"Literatura";"Poesia";"";"Uma página manuscrita a tinta preta em folha lisa. ";"26,7 x 20,7 cm";"";"França, José-Augusto, ""Nota sobre quatro inéditos de Almada Negreiros"", Colóquio Letras, 149/150, Fundação Calouste Gulbenkian, Julho-Dezembro, 1998, Lisboa, p. 235. ";"";"";"";"ANSA-L-130";"Informação Protegida";"Bom";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-121-001.JPG";"";"Negreiros, José de Almada";"S.O.S.";"";"";"Português";"Manuscrito da peça de teatro com emendas e acrescentos.";"Literatura";"Teatro";"";"Trinta e duas páginas manuscritas a preto em folhas lisas dobradas ao meio; quinze páginas manuscritas a tinta preta, azul e lápis em folhas soltas de caderno quadriculado. ";"21,5 x 13,5 cm";"";"Negreiros, José de Almada, ""Sudoeste 2"", Lisboa, Cadernos de Almada Negreiros, Out. 1935. ";"";"ANSA-L-122ANSA-L-123";"Versão com emendas e acrescentos relativamente à versão publicada. ";"ANSA-L-121-1 a ANSA-L-121-47";"Informação Protegida";"Bom";"Colecção Particular";"";"1928 1929 1930 1931 1932 1933 1934 1935";"1928-29: data indicada por Almada Negreiros em versões desta peça; 1935: data da publicação de uma versão desta peça em ""Sudoeste 2"", Outubro de 1935. ";"";"";"1928-1935";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-122-001.JPG";"";"Negreiros, José de Almada";"S.O.S.";"";"";"Português";"Dactiloscrito da peça de teatro com emendas e acrescentos manuscritos e cópia deste documento. ";"Literatura";"Teatro";"";"Dezassete páginas dactiloscritas a preto em folhas lisas dobradas ao meio, emendas a lápis e tinta preta e azul. Dezassete páginas de cópia dactiloscrita sem acrescentos, com uma emenda a tinta auzl.  ";"27,5 x 21,5 cm";"";"Negreiros, José de Almada, ""Sudoeste 2"", Lisboa, Cadernos de Almada Negreiros, Out. 1935. ";"";"ANSA-L-121 ANSA-L-123";"";"ANSA-L-122-1 a ANSA-L-122-17  ANSA-L-122 A-1 a ANSA-L-122 A-17";"Informação Protegida";"Razoável: algumas folhas com pequenos rasgões e marcas de ferrugem. ";"Colecção Particular";"";"1929";"Data inscrita. ";"";"";"1929";"Madrid";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-127-001.jpg";"";"Negreiros, José de Almada";"S.O.S.";"S.O.S.";"";"Português";"Dactiloscrito (e cópia) da peça de teatro, sem título nem ilustrações, com ligeiras variantes em relação ao texto publicado com o mesmo título. ";"Literatura";"Teatro";"";"Dezasseis páginas dactiloscritas a tinta azul. ";"27,5 x 21 cm";"";"";"";"ANSA-L-127 AANSA-L-122ANSA-L-123";"";"ANSA-L-127-1 a ANSA-L-127-16  ANSA-L-127A-1 a ANSA-L-127A-16";"Informação Protegida";"Bom: marcas de sujidade e ferrugem. ";"Colecção Particular";"";"1928 1929";"Atribuída de acordo com data inscrita na versão publicada em 1935, na revista ""Sudoeste2"". ";"";"";"1928-1929";"Lisboa";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-170-001.jpg";"";"Ferrão, Fernando";"Rondel do Alentejo";"";"";"Português";"Partitura de música de Fernando Ferrão sobre os versos de José de Almada Negreiros.";"Literatura";"Poesia";"";"Documento manuscrito numa pauta com duas folhas, a tinta preta.";"";"";"";"";"";"";"ANSA-L-170";"Informação Protegida";"Bom";"Colecção Particular";"";"1926";"Inscrita.";"";"";"1926";"";"Música";"Negreiros, José de Almada  Ferrão, Fernando";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-57-001.png";"";"Negreiros, José de Almada";"Rio-me sim rio-me do que fazem";"Rio-me sim rio-me do que fazem";"";"Português";"Poema manuscrito.";"Literatura";"Poesia";"";"Manuscrito de uma página a tinta verde em folha lisa com correcções a lápis e tinta preta. ";"";"";"";"";"";"";"ANSA-L-57";"Informação Protegida";"Razoável: folha com vincos e ligeiramente deteriorada nas margens.";"Colecção Particular";"";"Sem data";"Poema, provavelmente, escrito em dois momentos distintos, tendo em conta as correcções e acrescentos a lápis e tinta preta e o restante texto estar manuscrito a tinta verde.  ";"";"";"Sem data";"";"";"";"";"Luísa Medeiros"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-245-001-co__pia.jpg";"";"Negreiros, José de Almada";"Respostas a entrevista de António Valdemar";"Respostas a entrevista de António Valdemar";"";"Português";"Manuscrito com as respostas às perguntas, da n.º 7 à n.º 10, realizadas na entrevista de António Valdemar, por ocasião da exposição ""Almada, António Soares, Feyo, Jorge Barradas"", SNBA, em Novembro de 1963.A entrevista não chegou a ser publicada na época. Chegou ao prelo em 2015 no livro Almada, os Painéis, a Geometria e Tudo, com o título ""Começar, todos os dias"".";"Literatura";"Entrevistas";"";"Folha quadriculada dobrada ao meio e manuscrita a esferográfica vermelha e azul.";"32 x 22 cm (folha dobrada)";"António Valdemar, Almada. Os painéis a geometria e tudo, Lisboa, Assírio & Alvim, 2015, pp. 49-51.";"António Valdemar, Almada. Os painéis a geometria e tudo, Lisboa, Assírio e Alvim, 2015, pp. 136-145.";"";"ANSA-IMP-43";"";"ANSA-L-245";"Informação Protegida";"Razoável: marcas de sujidade.";"Coleção Particular";"";"";"Atribuída de acordo com a data da exposição relativa.";"";"";"1963";"Portugal, Batalha, ";"Geografia, Arte, Autor";"Margites HomeroD. João I Ulisses";"2021-11-03";"Giorgia Casara"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-274.jpg";"";"Negreiros, José de Almada";"Resposta ao inquérito do «Diário Popular» sobre a arquitectura moderna em Lisboa";"Resposta ao inquérito do «Diário Popular» sobre a arquitectura moderna em Lisboa";"";"Português";"Esboço de resposta ao inquérito de Mário Rocha sobre a arquitectura moderna em Lisboa. O inquérito será publicado depois de dois dias, a 19 de janeiro de 1953 com o título ""Lisboa é a cidade de Europa que em trinta anos mais difere de si mesma"".";"Literatura";"Arte / Depoimento";"";"Quatro folhas lisas manuscritas a esferográfica azul.";"27 x 21 cm";"";"";"";"ANSA-L-272ANSA-L-273";"";"ANSA-L-274";"Informação Protegida";"Bom";"Coleção Particular";"";"1953 Jan 19";"1953 Jan 17";"";"Diário Popular";"1953 Jan 17";"Lisboa";"Arquitectura Inquérito";"Rocha (Mário)";"2022-04-08";"Giorgia Casara"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-273.jpg";"";"Rocha, Mário";"Resposta ao inquérito do «Diário Popular» sobre a arquitectura moderna em Lisboa";"Resposta ao inquérito do «Diário Popular» sobre a arquitectura moderna em Lisboa";"";"Português";"Esboço de resposta ao inquérito de Mário Rocha sobre a arquitectura moderna em Lisboa. O inquérito será publicado depois de dois dias, a 19 de janeiro de 1953 com o título ""Lisboa é a cidade de Europa que em trinta anos mais difere de si mesma"".";"Literatura";"Arte / Depoimento";"";"Cinco folhas lisas manuscritas a esferográfica azul.";"27 x 21 cm";"";"";"";"ANSA-L-272ANSA-L-274";"";"ANSA-L-273";"Informação Protegida";"Bom";"Coleção Particular";"";"1953 Jan 19";"1953 Jan 17";"";"Diário Popular";"1953 Jan 17";"Lisboa";"Arquitectura Inquérito";"Diaghilev, Marques de Pombal";"2022-04-08";"Giorgia Casara"
