Fundo,Imagem,PDF,Autor,Titulo,Titulos atríbuidos,Notas de edição,Idioma,Edição / Descrição geral,Categoria,Subcategoria,Legendas,Descrição Material,Dimensões,Itens relacionados,Cota,Data,Locais,Palavras chave,Identificador
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-L-252-001-co__pia.jpg,,"Negreiros, José de Almada","""Média e Extrema Razão""",,,Português,"Texto manuscrito que refere uma conversa com o autor de um livro sobre assuntos financeiros em que Almada afirma conhecer que o Marquês de Pombal foi o primeiro a servir-se, nas Finanças, do conceito de ""média e extrema razão"".",Literatura,Depoimento / Fragmentos,,"Conjunto de sete folhas de caderno quadriculado dobradas ao meio e agrafadas, duas páginas manuscritas a esferográfica azul.",22 x 16 cm,ANSA-L-253,ANSA-L-252,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4353
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-84.jpg,,Desconhecido,"""O pintor pede a palavra"", por Almada Negreiros","Convite palestra ""O pintor pede a palavra""",,Português,".Convite da palestra ""O pintor pede a palavra"", realizada no Clube Feniano (Porto) no dia 13 de fevereiro de 1950",Espólio Documental,Convites,,cartolina impressa a castanho,"6,8 x 11,3 cm",ANSA-RI-78 ANSA-RI-153 ANSA-RI-154 ANSA-RI-155 ANSA-RI-156,ANSA-IMP-84,"1950, Fev 13",Porto,Conferência Pintura,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3648
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-125.jpg,,"Negreiros, José de Almada","""Olisipo"" / Ano I N.º 41","""Olisipo"" / Ano I N.º 41","O logo do grupo ""Amigos de Lisboa"", também é de Almada Negreiros.",Português,"Um exemplar da revista ""Olisipo"" / Ano I N.º 41, Janeiro 1948. Capa de José de Almada Negreiros (1944), onde estão representadas duas varinas e os corvos.Director: Matos Sequeira Editor: Francisco Valença. Edição e propriedade do grupo ""Amigos de Lisboa""",Espólio Documental,Revistas,,"Livro com 56 páginas. Páginas de papel vegetal, 6 no início  e 4 no fim, de dimensão ligeiramente menor, com publicidade",26 x 20 cm,,ANSA-IMP-125,1948 Jan,Lisboa,"Revista; Lisboa; Varinas; Amigos de Lisboa, Olisipo ",https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4104
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-153.JPG,,"Negreiros, José de Almada","""prova dos nove""relação 9.10",,"assinado ""almada"" na capa, tem também o símbolo das Edições Nónio",Português,"Caderno somente com 8 páginas inscritas, onde Almada inicia uma organização de:""os dois volumes almada nas edições NÓNIOI relação 9.10 (...)II a obra-prima primitiva portuguesa (...)""Tem pouco texto, como se tratasse de um índice, experiências gráficas para capa de edição, dedicatória, algumas citações e alguns desenhos geométricos, parecendo ter sido abandonada a ideia.",Geometria,,,"Caderno de argolas com folhas quadriculadas, inscritas com materiais riscadores vários.","22 x 17,5 cm",,ANSA-C-153,Sem data,"Lisboa, Batalha",,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5361
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/Ansa-C-144-009.jpg,,"Negreiros, José de Almada","""prova dos nove""relação 9/10linguagem do quadrado",,Assinado “almada”Tem símbolo das Edições Nónio ,Português,"Caderno com pouco conteúdo, começado de ambos os lados.A imagem representa a primeira página de um dos lados, sem que desse lado haja continuidade. Do outro lado a primeira página é também uma capa com o mesmo título, assinada ""almada"" e  com o símbolo das edições Nónio. A esta seguem-se 3 páginas com pouco texto sobre a divisão da circunferência em partes iguais e alguns desenhos geométricos sobre esse tema, além de uma citação de Aristóteles: ""Geometria é anterior à aritmética""",Geometria,,,"Caderno de argolas com folhas quadriculadas, inscritos com vários materiais.","22 x 17,5 cm",,ANSA-C-144,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5349
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1055_conv.jpg,,Almada Negreiros,"""Toda a novidade não é senão esquecimento""",,"As cerca de cem folhas, do mesmo papel e dimensões (ANSA-A-1041 a ANSA-A-1142) têm todas uma quadrícula a lápis, feita à mão, que lhes confere coerência formal. Isto não quer dizer que sejam uma só obra, completa; parecem ser várias sequências distintas de experimentação geométrica, com algum texto.",Português,"Página de uma espécie de caderno de folhas de grandes dimensões, que começa com texto e se desenvolve de seguida em desenhos geométricos. Inclui citação de Salomão e dedicatória aos filihos.",Arte,,,Lápis e caneta de tinta preta sobre papel,61 x 43 cm,ANSA-A-1041 a ANSA-A-1142,ANSA-A-1055,1950-1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2549
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-127.jpg,,"Negreiros, José de Almada","""Vida"", número único dedicado à visita da Rainha Isabel de Inglaterra a Portugal","""Vida"", número único dedicado à visita da Rainha Isabel de Inglaterra a Portugal, fevereiro de 1957. Capa de Almada Negreiros",,,"""Vida"", número único dedicado à visita da Rainha Isabel de Inglaterra a Portugal, fevereiro de 1957. Capa de Almada Negreiros",Espólio Documental,Revistas,,Revista com 36 páginas impressas a preto e branco.,"43,5 x 32 cm",,ANSA-IMP-127,1957 Fev,Lisboa,Inglaterra; Retrato; ,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4106
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-26-001.jpg,,"Negreiros, José de Almada",'a porta da Harmonia' 'pintar o sete' provérbio português,'a porta da Harmonia' 'pintar o sete' provérbio português,,Português,"Sequências de desenhos em que são abordadas as divisões do círculo e do raio em n partes em função do quadrado / duplo quadrado / triplo quadrado, originadas pelo que o autor denomina de 'porta da harmonia'.",Geometria,Linguagem do quadrado,,"Caderno, a esferográfica preta e lapiseira, não agrafado constituído por três folhas de 32,4 x 50 cm dobradas ao meio. Duas folhas quadriculadas coladas, a esferográfica azul e verde e lapiseira.","32,4 x 25 cm",,ANSA-C-26,Sem data,,Caderno,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1058
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-639_conv.jpg,,Almada Negreiros,'Cinematografia geométrica da sigla',,Estes desenhos denotam marcas que indicam que foram reproduzidos em chapas para impressão nas entrevistas do Diário de Notícias.,Português,"'Cinematografia geométrica da sigla': série de desenhos relacionados com a sigla dos painéis de Nuno Gonçalves, determinando a divisão da circunferência em 7 partes e ? ",Espólio Documental / Geometria,Painéis de S. Vicente / Plano ou projecto / Arte,"Inscrito no canto superior esquerdo de cada desenho, a grafite, esferográfica vermelha e preta '1 col, 1, 1', sequencialmente numeradas até '1 col, 6, 6'.","Cinco folhas lisas (com quadrícula desenhada à mão, a grafite) coladas sobre cartolina, com desenhos e texto a tinta da china.",70 x 40 cm,ANSA-RI-269,ANSA-A-639,1960 ou anterior,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2522
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-064.png,/images/NAeSA/pdf/ANSA-RI-064.pdf,"Pessoa, Fernando / Negreiros, José de Almada",'Mar Português',Mar Português,,Português,"Reprodução do poema 'Mar Português', de Fernando Pessoa. Inclui reprodução do desenho de Fernando Pessoa por José de Almada Negreiros.",Espólio Documental,Ilustração Recorte de Imprensa,,,,,ANSA-RI-64,Desconhecida,,Literatura,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/134
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-315.JPG,,"Negreiros, José de Almada",1,,,Português,"Caderno com desenhos geométricos que parecem ser estudos preparatórios para o painel Começar. Tem uma ordem coerente de progressiva complexidade e é dividido em 3 partes, sendo o título “1” o marcador da primeira parte, na primeira página do caderno. ",Geometria,,,"Caderno quadriculado inscrito a grafite, esferográfica preta e caneta de feltro preta.",21 x 15 cm,,ANSA-C-315,c. 1968,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5454
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-168.png,/images/NAeSA/pdf/ANSA-RI-168.pdf,"d'Ors, Eugenio / Negreiros, José de Almada",1 artista português 2 cartas 3 países,1 artista português 2 cartas 3 países,,Português Espanhol,"Publicação, em artigo de José de Almada Negreiros, de carta de Eugenio d'ORS a Almada e respectiva resposta acerca de convite para expôr, em sala especial, as suas obras no pavilhão espanhol da bienal de Veneza. Recorte publicado em  Diário de Lisboa , An",Espólio Documental,Recorte de Imprensa,,,,ANSA-RI-304,ANSA-RI-168,1938 Mai 20,Veneza Portugal Lisboa Espanha,Bienal de Veneza,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/290
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-304.png,/images/NAeSA/pdf/ANSA-RI-304.pdf,"Negreiros, José de Almada / d'Ors, Eugenio",1 artista português 2 cartas 3 países,1 artista português 2 cartas 3 países,,Português Espanhol,"Prova de impressão de um artigo de José de Almada Negreiros,  no qual é reproduzida carta de Eugenio d'ORS a Almada e respectiva resposta acerca de convite para expôr, em sala especial, as suas obras no pavilhão espanhol da bienal de Veneza.",Espólio Documental,Recorte de Imprensa,,,,ANSA-RI-168,ANSA-RI-304,1938 Mai 20,Veneza Portugal Lisboa Espanha,Bienal de Veneza,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/418
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-60.min.JPG,,,15 Artistas Premiados pelo S.N.I. com o Prémio Sousa Cardoso ,15 Artistas Premiados pelo S.N.I. com o Prémio Souza-Cardoso. Exposição Promovida pelo Secretariado Nacional da Informação e pela Comissão Regional de Turismo da Serra do Marão,"Catálogo de uma exposição, antecedido de uma nota não assinada, ""O Verdadeiro Significado desta Exposição"", de artistas premiados pelo SNI com o prémio Souza-Cardoso. A lista vem com a menção dos títulos das obras expostas, antecedida de uma nota biográfica: Mário Eloy, Guilherme Camarinha, Carlos Botelho, Paulo Ferreira, Ofélia Marques, Maria Keil, António Dacosta, Mily Possoz, Sarah Affonso, Magalhães Filho, Manuel Bente, Celestino Alves, Júlio Resende, Cândido Costa Pinto, Artur Bual.",Português,Museu Municipal de Amarante. Câmara Municipal de Vila Real,Espólio Documental,Catálogo,,,"23cm x 12,5cm",,ANSA-IMP-60,"1960, Jun","Amarante, Vila Real",,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2239
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-227.jpg,,Almada Negreiros ,15 painéis,Meu caro amigo,"AssinadoEdições NónioAlmada usa a expressão ""módulo"" para se referir às proporções de rectângulos, o que não é comum.",Português,"Folha com esboço de capa para edição NÓNIO dedicada aos 15 painéis e com os 4 passos das dimensões e relações entre painéis; no verso tem um esboço de carta sem destinatário identificado, onde se lê: Meu caro amigo Assino as cartas que me enviaCreio que não houve nunca nenhum entrave de condição e de tempo de minha parte.Com os meus melhores cumprimentos",Espólio Documental,,,"Folha lisa, inscrita a caneta de tinta preta, dobrada ao meio.",21 x 27 cm cm (aberta),,ANSA-C-227,s/ data,Batalha,carta; 15 painéis,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2423
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1468.JPG,,Almada Negreiros,15 PAINEIS da BATALHA,,,Português,Arranjo gráfico para uma possível capa de caderno dedicada ao tema do retábulo imaginado para a o Mosteiro da Batalha,Arte / Geometria,Arte / Painéis de S. Vicente,,Aguada a amarelo sobre cartolina com fundo vermelho,70 x 50 cm,,ANSA-A-1468,c. 1960,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3886
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-BIB-1-__capa_.jpg,,"Almeida, António Correia Pinto de",1886-1933 Republicaniadas,,Com capa e vinhetas de Almada Negreiros,Português,"Lisboa: Jayme Marquees, 1913",Biblioteca,Livro,,96 p.il,22x12 cm,,ANSA-BIB-1,1913,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4798
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-388.JPG,,"Negreiros, José de Almada","1910+9relation 9/10Invariant-clef du Nombre Parfait: Décade, theleon et nombre d’or",,Assinado “J. de Almada Negreiros”Inclui chancela “nónio”,Português / Francês,"Conjunto com vários arranjos gráficos para capa dedicada à relação 9/10, com índice sobre o tema, lista de “documents sans texte de la Relation neuf/dix” e estudos geométricos também do mesmo tema. As folhas não têm uma organização sequenciada muito evidente. Inclui duas referências não muito habituais: “Tumba rupestre de Mira (Ásia Menor)” e “Duomo di Milano”.",Geometria,,,Oito folhas de papel quadriculado inscritas a materiais riscadores vários.,32 x 22 cm,,ANSA-C-388,Sem data,"Suse, Ásia Menor, Delfos, Milão, Cnossos, Lisboa",,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5527
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-357.JPG,,"Affonso, Sarah",1961,,,Português,"Caderno de contas  de Sarah Affonso onde estão anotadas as “despesas” e “vendas” mensais das lides da horta, com referência a múltiplas flores, frutos e vegetais, mas também a “estrume”, “homem” e “mulher” (prováveis ajudantes) e ainda alguns números de telefone. Hors-texte encontram-se recortes de imprensa coevos de uma coluna dedicada à jardinagem (jornal incerto) e um pequeno papel com contas.Inclui os anos de 1961 a 1963.",Espólio Documental,,,Caderno de folhas pautadas inscritas a esferográfica azul (inclui 3 hors-texte: dois recortes de imprensa e um pequeno papel inscrito).,"16,5 x 11,5 cm",,ANSA-C-357,1961-1963,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5481
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-358.JPG,,"Affonso, Sarah",1963,,,Português,"Caderno de contas  de Sarah Affonso onde estão anotadas as “despesas” e “vendas” mensais das lides da horta e da casa, com referência a múltiplas flores, frutos e vegetais, mas também a “cão”, “homem” e “mulher” (prováveis ajudantes). Inclui os anos de 1963 a 1965.",Espólio Documental,,,Caderno de folhas pautadas inscritas a esferográfica azul e vermelha.,"16,5 x 11,5 cm",,ANSA-C-358,1963-1965,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5482
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-359.JPG,,"Affonso, Sarah",1965,,,Português,"Caderno de contas  de Sarah Affonso onde estão anotadas as “despesas” e “vendas” mensais das lides da horta e da casa, com referência a múltiplas flores, frutos e vegetais, mas também a “comida cão”, “homem” e “mulher” (prováveis ajudantes). Inclui os anos de 1965 a 1967.",Espólio Documental,,,Caderno de folhas pautadas inscritas a esferográfica azul e vermelha.,"16,5 x 11,5 cm",,ANSA-C-359,1965-1967,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5483
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-33.jpg,/images/NAeSA/pdf/ANSA-IMP-33.pdf,Desconhecido,1ª Exposição dos Artistas Ilustradores Modernos,"1ª Exposição dos Artistas Ilustradores Modernos Catálogo da  1ª Exposição dos Artistas Ilustradores Modernos  no estúdio do SPN, 1942, Porto.",,Português," Catálogo da  1ª Exposição dos Artistas Ilustradores Modernos  realizada no estúdio do SPN do Porto (Salão de Festas do Coliseu) em 1942.   Contém o catálogo das obras, nomeadamente de ""Originais para ilustrações"" para livros ou revistas. As obras estão organizadas por autor e em cada obra (ou grupo de obras) está mencionado o livro, a revista ou o poema para que foi realizada.   Contém, no fim, um catalógo de livros e revistas da geração modernista organizado em ordem cronológica.   A primeira página contém esta inscrição: ""À memória de José Pacheko / O nosso primeiro renovador das artes gráficas do século XX, o ponto de partida para o que os outros fizeram - por ele, e por êles próprios"".",Espólio Documental,Impresso Catálogo,,Caderno agrafado com 20 páginas impressas a castanho. Capa de cartolina impressa a cores.,"22,7 x 18,5 cm",ANSA-RI-169 ANSA-RI-170 ANSA-RI-171,ANSA-IMP-33,1942 Maio,Porto,Poesia Pintura Ilustração I Exposição dos Artistas Ilustradores Modernos Exposição Catálogo Arte Secretariado de Propaganda Nacional (SPN),https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1849
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-BIB-5__capa_.jpg,,"Serpa, Alberto de",20 Poemas da noite,,,Português," Serpa, Alberto de, 20 Poemas da noite, Porto: Edições «presença», 1935. Dedicatória: «A Almada Negreiros – Artista sempre Novo, com a velha admiração do Alberto de Serpa dez.º 35»",Biblioteca,,,,,,ANSA-BIB-5,1935,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4804
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-29.jpg,/images/NAeSA/pdf/ANSA-IMP-29.pdf,Desconhecido,"3 pintores: Almada, Sarah Affonso, Mario Eloy , 1 escultor: Hein Semke","3 pintores: Almada, Sarah Affonso, Mario Eloy / 1 escultor: Hein Semke Exposição 3 pintores e 1 escultor",,Português,"Folheto da exposição  3 pintores: Almada, Sarah Affonso, Mario Eloy / 1 escultor: Hein Semke  ocorrida na Galeria d'Arte (na rua Nova da Trindade, 25, Lisboa), de 5 a 20 de Abril de 1937.   Contém o catálogo das obras expostas ordenadas por autor e divididas por categorias (Pintura, Desenho, Escultura).   No interior pode ler-se a seguinte informação ""luz natural: das 11 às 15"".    Na última página aparece o logotipo de ""Mercador Lda"".",Espólio Documental,Impresso Catálogo,,Folha dobrada em dois e impressa a castanho.,"15,5 x 10,2 cm",,ANSA-IMP-29,1937 Abr 5-20,Lisboa,Exposição Pintura Escultura Catálogo,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1844
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-190.png,/images/NAeSA/pdf/ANSA-RI-190.pdf,"Negreiros, José de Almada / Cristóvão","3 poemes de celle qui n'a jamais fait l'american , por Almada , A exposição dos Artistas Modernos Independentes",3 poemes de celle qui n'a jamais fait l'american / por Almada / A exposição dos Artistas Modernos Independentes,,Português Francês,"Três poemas de José de Almada Negreiros, acompanhados de um artigo de Cristóvão sobre a participação de Almada e Sarah Affonso na exposição dos Artistas Modernos Independentes.",,Recorte de Imprensa Poesia,"Inscrito na margem inferior do recorte, a lápis de carvão, a fonte: 'acção'.",,,ANSA-RI-174 ANSA-RI-175 ANSA-RI-176 ANSA-RI-177 ANSA-RI-178 ANSA-RI-179 ANSA-RI-180 ANSA-RI-181 ANSA-RI-182 ANSA-RI-187 ANSA-RI-188 ANSA-RI-189,ANSA-RI-190,1936 Jun 20,Portugal Lisboa,Literatura Exposição dos Artistas Modernos Independentes Exposição,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/310
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-052.jpg,,"Negreiros, José de Almada",3.4.5,3.4.5,,,"Projecto de caderno, só capa, conteúdo deslocado. Apresenta um triângulo de proporções 3, 4, 5, devidamente assinalado. A contracapa e as abas não apresentam quaisquer inscrições.",Geometria,Plano ou projecto Desenho,,"'almada' e '3.4.5' escritos a caneta preta, triângulo pintado a aguada preta e alguns vestígios de linhas a lápis na preparação composicional da página (tudo na capa), sobre  cartolina branca dorbada em quatro folhas e lombada.","16,5 x 12,5 cm dobrado 16,5 x 50 cm quando aberto o fólio (tem lombada)",,ANSA-C-52,sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2104
